СЕКЦИЯ,Параметр,Значение,Единица,Формула / описание

Входные данные,AvgZkp,17000,rub,Закуп за ходку

Входные данные,AvgLife,15,min,Средняя жизнь на диком севере

Входные данные,AvgVns,143333.33,rub,Средний профит за количество ходок (ожидаемый чистый)

Входные данные,Attemp,5,,Количество попыток

Входные данные,MigrateDth,0.05,,Смерть при миграции (доля 0–1)

Входные данные,SeverDeath,0.35,,Смерть на севере (доля 0–1)

Входные данные,AvgTm,4,min,Среднее время перехода на дикий север

Входные данные,AvgPrf,143333.33,rub,Средний профит за 5 спотов (чистый за цикл)

,,,,

Вероятности,P_добраться,0.95,,=1-MigrateDth

Вероятности,P_выжить_на_севере,0.65,,=1-SeverDeath

Вероятности,P_успех_вынес,0.6175,,=(1-MigrateDth)*(1-SeverDeath)

Вероятности,P_смерть_миграция,0.05,,=MigrateDth

Вероятности,P_смерть_на_севере,0.3325,,=(1-MigrateDth)*SeverDeath

Вероятности,P_полный_провал,0.3825,,=1-P_успех

Вероятности,P_хотя_бы_1_успех_за_N,0.987,,=1-(1-P_успех)^Attemp

Вероятности,P_ноль_успехов_за_N,0.013,,=(1-P_успех)^Attemp

,,,,

Производные,Loot_при_успешном_выносе,73927.40,rub,=(AvgVns/Attemp+AvgZkp)/P_успех

Производные,Затраты_всего_за_N_ходок,85000,rub,=Attemp*AvgZkp

Производные,Ожид_число_успешных_выносов,3.0875,,=Attemp*P_успех

Производные,Ожид_валовый_лут,228343.35,rub,=Attemp*P_успех*Loot

Производные,Средний_чистый_профит_за_N,143343.35,rub,=Attemp*(P_успех*Loot-AvgZkp)

Производные,EV_за_1_ходку,28668.67,rub,=P_успех*Loot-AvgZkp

Производные,Нетто_при_успехе_за_ходку,56927.40,rub,=Loot-AvgZkp

,,,,

Сценарий_1_ходка,Исход,Вероятность,Закуп_rub,Лут_rub,Итого_rub

Сценарий_1_ходка,Умер при миграции,0.05,-17000,0,-17000

Сценарий_1_ходка,Умер на севере,0.3325,-17000,0,-17000

Сценарий_1_ходка,Вынес лут,0.6175,-17000,73927.40,56927.40

Сценарий_1_ходка,Среднее EV,1,-17000,45668.67,28668.67

,,,,

Формулы_справка,Профит_за_N_ходок,,,=N*((1-MigrateDth)*(1-SeverDeath)*Loot-AvgZkp)

Формулы_справка,P_успех,,,=(1-MigrateDth)*(1-SeverDeath)

Формулы_справка,Loot_из_AvgVns,,,=(AvgVns/N+AvgZkp)/((1-MigrateDth)*(1-SeverDeath))

Формулы_справка,P_минимум_1_успех,,,=1-(1-P_успех)^N

,,,,

Распределение_успехов_за_5_ходок,Успешных_выносов_k,Вероятность,Валовый_лут_rub,Затраты_rub,Чистый_профит_rub

Распределение_успехов_за_5_ходок,0,0.0130,0,85000,-85000

Распределение_успехов_за_5_ходок,1,0.1026,73927.40,85000,-11072.60

Распределение_успехов_за_5_ходок,2,0.3225,147854.80,85000,62854.80

Распределение_успехов_за_5_ходок,3,0.4049,221782.20,85000,136782.20

Распределение_успехов_за_5_ходок,4,0.2540,295709.60,85000,210709.60

Распределение_успехов_за_5_ходок,5,0.0800,369637.00,85000,284637.00

