Блок,Категория,Серия,Значение,Единица

Сравнение_этап,Лидер ~51%,Текущая (1500),521,гильзы/топ-игрок
Сравнение_этап,Лидер ~51%,Предлож. v2 (3500),1520,гильзы/топ-игрок
Сравнение_этап,2 место ~32%,Текущая (1500),315,гильзы/топ-игрок
Сравнение_этап,2 место ~32%,Предлож. v2 (3500),1066,гильзы/топ-игрок
Сравнение_этап,3 место ~16%,Текущая (1500),158,гильзы/топ-игрок
Сравнение_этап,3 место ~16%,Предлож. v2 (3500),655,гильзы/топ-игрок
Сравнение_этап,<5% аннулир.,Текущая (1500),0,гильзы/топ-игрок
Сравнение_этап,<5% аннулир.,Предлож. v2 (3500),0,гильзы/топ-игрок

Режимы_день,Потасовки текущ.,Мин,0,гильзы/день
Режимы_день,Потасовки текущ.,Типично,1300,гильзы/день
Режимы_день,Потасовки текущ.,Макс,3000,гильзы/день
Режимы_день,Потасовки v2,Мин,0,гильзы/день
Режимы_день,Потасовки v2,Типично,3000,гильзы/день
Режимы_день,Потасовки v2,Макс,7000,гильзы/день
Режимы_день,Турнир межсезонье,Макс,7200,гильзы/день
Режимы_день,Турнир рейтинг C,Макс,7200,гильзы/день
Режимы_день,Турнир рейтинг S,Макс,21000,гильзы/день

Турнир_этап,E,Победа,1250,гильзы
Турнир_этап,E,Поражение,250,гильзы
Турнир_этап,D,Победа,1750,гильзы
Турнир_этап,D,Поражение,500,гильзы
Турнир_этап,C,Победа,2400,гильзы
Турнир_этап,C,Поражение,800,гильзы
Турнир_этап,B,Победа,3300,гильзы
Турнир_этап,B,Поражение,1200,гильзы
Турнир_этап,A,Победа,4700,гильзы
Турнир_этап,A,Поражение,1800,гильзы
Турнир_этап,S,Победа,7000,гильзы
Турнир_этап,S,Поражение,3000,гильзы

Пул_v2,Статика 1 место,,980,гильзы
Пул_v2,Статика 2 место,,735,гильзы
Пул_v2,Статика 3 место,,490,гильзы
Пул_v2,Статика 4 место,,245,гильзы
Пул_v2,Бонус за вклад,,1050,гильзы

День_3этапа,Текущая (лидер),Этап1,521,гильзы
День_3этапа,Текущая (лидер),Этап2,521,гильзы
День_3этапа,Текущая (лидер),Этап3,521,гильзы
День_3этапа,v2 (1 место топ),Этап1,1520,гильзы
День_3этапа,v2 (1 место топ),Этап2,1520,гильзы
День_3этапа,v2 (1 место топ),Этап3,1520,гильзы
