Параметр,Значение,Комментарий

Общий пул гильз/этап/группа,3500,Было 1500 (+133%)
Доля статики по местам,70%,2450 гильз — фиксированно
Доля бонуса за вклад,30%,1050 гильз — по личным очкам в группе

Статика 1 место,980,40% статической части
Статика 2 место,735,30% статической части
Статика 3 место,490,20% статической части
Статика 4 место,245,10% статической части

Мин. вклад клана,5%,Как сейчас — иначе 0 награды
Топ получателей,30,Как сейчас
AFK порог игрока,<2% вклада в клане,Нет бонуса; статика ×50%
AFK полный,0 очков и 0 захватов,0 гильз

Формула статики на игрока,статика_места × (личные_очки / очки_клана),Внутри клана по вкладу
Формула бонуса на игрока,1050 × (личные_очки / очки_группы),Только для не-AFK из топ-30

Преимущество 1,Предсказуемая награда за место 1–4,Мотивация бороться за позицию а не фармить %
Преимущество 2,Бонус за личный вклад,Сильный игрок получает больше
Преимущество 3,Пул 3500,Сопоставимо с турниром C (2400/этап)
Преимущество 4,Сохранена анти-AFK,5% клан / 2% игрок / топ-30
