День,День_нед,Режим,Тип,Ресурс,Мин,Типично,Макс,Единица,Примечание

Пн,1,Потасовки,Доход,Багровые гильзы,0,1300,3000,шт/игрок,3 этапа
Пн,1,Потасовки,Доход,Очки влияния,0,5000,10000,ед/клан,~50% банка
Пн,1,Потасовки,Доход,Квантовые батареи,0,50,100,ед/клан,
Пн,1,Потасовки,Доход,Казна ₽,0,250000,500000,₽/клан,банк 500k×доля
Пн,1,Потасовки,Расход,Регистрация,100000,100000,100000,₽/клан,1 раз/день

Вт,2,Потасовки,Доход,Багровые гильзы,0,1300,3000,шт/игрок,
Вт,2,Потасовки,Расход,Регистрация,100000,100000,100000,₽/клан,

Ср,3,Потасовки,Доход,Багровые гильзы,0,1300,3000,шт/игрок,
Ср,3,Потасовки,Расход,Регистрация,100000,100000,100000,₽/клан,

Чт,4,Турнир межсезонье,Доход,Багровые гильзы,2400,4800,7200,шт/игрок,3 этапа
Чт,4,Турнир межсезонье,Доход,Казна ₽,1050000,2100000,3150000,₽/клан,победы+поражения
Чт,4,Турнир межсезонье,Расход,Регистрация,200000,200000,200000,₽/клан,

Пт,5,Турнир межсезонье,Доход,Багровые гильзы,2400,4800,7200,шт/игрок,
Пт,5,Турнир межсезонье,Расход,Регистрация,200000,200000,200000,₽/клан,

Сб,6,Турнир межсезонье,Доход,Багровые гильзы,2400,4800,7200,шт/игрок,
Сб,6,Турнир межсезонье,Расход,Регистрация,200000,200000,200000,₽/клан,

Неделя,7,Потасовки,Доход,Багровые гильзы,0,3900,9000,шт/игрок,Пн–Ср
Неделя,7,Потасовки v2 (предл.),Доход,Багровые гильзы,0,7800,10500,шт/игрок,пул 3500
Неделя,7,Турнир межсезонье,Доход,Багровые гильзы,7200,14400,21600,шт/игрок,Чт–Сб
Неделя,7,Турнир рейтинг C,Доход,Багровые гильзы,7200,16800,21600,шт/игрок,Чт–Сб
Неделя,7,Турнир рейтинг S,Доход,Багровые гильзы,27000,51000,63000,шт/игрок,Чт–Сб
Неделя,7,Все КВ,Расход,Регистрации,900000,900000,900000,₽/клан,3×100k+3×200k

Сравнение,—,Потасовки текущ.,Доход,Гильзы/этап топ,158,521,1000,шт,
Сравнение,—,Потасовки v2,Доход,Гильзы/этап топ,280,1520,2330,шт,место1+бонус
Сравнение,—,Турнир C,Доход,Гильзы/этап,800,1600,2400,шт,пораж/смеш/победа
