График_1_неделя_гильзы,,,График_2_казна,,,График_3_режимы_день,,,График_4_турнир_ранги,,
День,Потасовки,Турнир,Статья,₽,,Режим,Мин,Тип,Макс,Ранг,Победа,Поражение
Пн,1300,0,Доход казны,2850000,,Потасовки,0,1300,3000,E,1250,250
Вт,1300,0,Регистрации,-900000,,Турнир межс.,2400,4800,7200,D,1750,500
Ср,1300,0,Итог казны,1950000,,Турнир C,2400,5600,7200,C,2400,800
Чт,0,4800,,,,Турнир S,9000,17000,21000,B,3300,1200
Пт,0,4800,,,,,,,,A,4700,1800
Сб,0,4800,,,,,,,,S,7000,3000
Вс,0,0,,,,,,,,,,
Итого,3900,14400,,,,,,,,,,

График_5_v2_сравнение,,,График_6_ресурсы_этап,,,,,,,,,
Сценарий,Текущая,v2,,Ресурс,Значение (~50%),,,,,,,
Лидер 51%,521,1520,,Гильзы клан,750,,,,,,,
2 место 32%,315,1066,,Казна ₽,250000,,,,,,,
3 место 16%,158,655,,Влияние,5000,,,,,,,
<5%,0,0,,Батареи,50,,,,,,,
