Раздел,Режим,Период,Единица,Параметр,Значение,Условие / примечание

Расписание,Потасовки,Пн–Ср,день,Этапов за день,3,Старт 20:00 / 20:20 / 20:40 МСК
Расписание,Турнир,Чт–Сб,день,Этапов за день,3,Старт 20:00 / 20:25 / 20:50 МСК
Расписание,Игровой день,все режимы,день,Засчёт дня,1 этап без «Бегства»,Иначе день не игровой

Потасовки,Банк за этап,всегда,гильзы/группа,Багровые гильзы,1500,Общий банк на группу (2–4 подразделения)
Потасовки,Банк за этап,всегда,₽/группа,Казна (банк группы),1500000,Делится по % очков захвата между подразделениями
Потасовки,Банк за этап,всегда,ед.,Очки влияния,10000,Делится по % очков захвата
Потасовки,Банк за этап,всегда,ед.,Квантовые батареи,100,Делится по % очков захвата
Потасовки,Условия,всегда,%,Мин. вклад подразделения,5,Меньше 5% — вклад = 0
Потасовки,Условия,всегда,чел.,Получатели награды,30,Топ-30 участников этапа по вкладу
Потасовки,На игрока за этап,всегда,гильзы,~51% доли (пример),521,Официальный пример из патча 01.10.2025
Потасовки,На игрока за этап,всегда,гильзы,~100% доли (теор. макс.),1000,Если подразделение забрало все очки группы
Потасовки,На игрока за день,всегда,гильзы,~50% × 3 этапа,~1563,Типичный сильный вклад
Потасовки,На игрока за день,всегда,гильзы,100% × 3 этапа,~3000,Теоретический максимум
Потасовки,На игрока за день,всегда,гильзы,<5% на этапах,0,Нет награды
Потасовки,Регистрация,всегда,₽,Стоимость,100000,Из казны; мин. 15 рядовых+

Турнир межсезонье,За этап,межсезонье,гильзы,Победа,2400,На игрока; рейтинг не меняется
Турнир межсезонье,За этап,межсезонье,гильзы,Поражение,800,Если >20% очков захвата
Турнир межсезонье,За день,межсезонье,гильзы,3 победы,7200,2400 × 3
Турнир межсезонье,За день,межсезонье,гильзы,3 поражения (>20%),2400,800 × 3
Турнир межсезонье,За день,межсезонье,гильзы,2В + 1П,5600,
Турнир межсезонье,За день,межсезонье,гильзы,1В + 2П,4000,
Турнир межсезонье,Регистрация,межсезонье,₽,Стоимость,200000,Из казны; мин. 25 рядовых+

Турнир рейтинг,За этап,E,гильзы,Победа,1250,Ранг сетки = макс. ранг в сетке
Турнир рейтинг,За этап,E,гильзы,Поражение,250,Если >20% очков захвата
Турнир рейтинг,За этап,D,гильзы,Победа,1750,
Турнир рейтинг,За этап,D,гильзы,Поражение,500,
Турнир рейтинг,За этап,C,гильзы,Победа,2400,
Турнир рейтинг,За этап,C,гильзы,Поражение,800,
Турнир рейтинг,За этап,B,гильзы,Победа,3300,
Турнир рейтинг,За этап,B,гильзы,Поражение,1200,
Турнир рейтинг,За этап,A,гильзы,Победа,4700,
Турнир рейтинг,За этап,A,гильзы,Поражение,1800,
Турнир рейтинг,За этап,S,гильзы,Победа,7000,
Турнир рейтинг,За этап,S,гильзы,Поражение,3000,

Турнир рейтинг,За день,E,гильзы,3 победы,3750,
Турнир рейтинг,За день,E,гильзы,3 поражения (>20%),750,
Турнир рейтинг,За день,C,гильзы,3 победы,7200,
Турнир рейтинг,За день,C,гильзы,3 поражения (>20%),2400,
Турнир рейтинг,За день,C,гильзы,2В + 1П,5600,
Турнир рейтинг,За день,S,гильзы,3 победы,21000,
Турнир рейтинг,За день,S,гильзы,3 поражения (>20%),9000,
Турнир рейтинг,За день,S,гильзы,2В + 1П,17000,

Сравнение за день,Потасовки,всегда,гильзы,Минимум,0,<5% вклада на этапах
Сравнение за день,Потасовки,всегда,гильзы,Типично,1000–1600,~50% доли × 3 этапа
Сравнение за день,Потасовки,всегда,гильзы,Максимум,~3000,~100% × 3 этапа
Сравнение за день,Турнир межсезонье,межсезонье,гильзы,Минимум (3П >20%),2400,
Сравнение за день,Турнир межсезонье,межсезонье,гильзы,Типично,4000–5600,Смешанный счёт
Сравнение за день,Турнир межсезонье,межсезонье,гильзы,Максимум,7200,3 победы
Сравнение за день,Турнир рейтинг E,рейтинг,гильзы,Минимум (3П >20%),750,
Сравнение за день,Турнир рейтинг E,рейтинг,гильзы,Максимум,3750,3 победы
Сравнение за день,Турнир рейтинг S,рейтинг,гильзы,Минимум (3П >20%),9000,
Сравнение за день,Турнир рейтинг S,рейтинг,гильзы,Максимум,21000,3 победы

Неделя,Потасовки,Пн–Ср,гильзы,Макс. за 3 дня,~9000,~3000/день × 3
Неделя,Турнир межсезонье,Чт–Сб,гильзы,Макс. за 3 дня,21600,7200/день × 3
Неделя,Турнир рейтинг S,Чт–Сб,гильзы,Макс. за 3 дня,63000,21000/день × 3

Справка,Источник,,,,Патчноут 01.10.2025,https://vk.com/@stalcraft_official-patchnout-01102025-hah245561
Справка,Валюта,,,,Багровые гильзы,Обмен у Перекупщика
Справка,Не включено,,,,Захваты баз,Воскресенье — отдельный режим
